rectCenterX,rectCenterY,rectWidth,rectHeight
0.863492,0.614402,0.244733,0.243213
0.802309,0.675205,0.122366,0.121607
0.802309,0.553599,0.122366,0.121606
0.924675,0.675205,0.122366,0.121607
0.924675,0.553599,0.122366,0.121606
0.741126,0.249583,0.489466,0.486426
0.618759,0.371189,0.244733,0.243213
0.557576,0.431992,0.122366,0.121607
0.557576,0.310386,0.122366,0.121607
0.679942,0.431992,0.122366,0.121607
0.679942,0.310386,0.122366,0.121607
0.618759,0.127976,0.244733,0.243213
0.557576,0.188779,0.122366,0.121607
0.557576,0.0671728,0.122366,0.121607
0.679942,0.188779,0.122366,0.121607
0.679942,0.0671728,0.122366,0.121607
0.863492,0.371189,0.244733,0.243213
0.802309,0.431992,0.122366,0.121607
0.802309,0.310386,0.122366,0.121607
0.924675,0.431992,0.122366,0.121607
0.924675,0.310386,0.122366,0.121607
0.863492,0.127976,0.244733,0.243213
0.802309,0.188779,0.122366,0.121607
0.802309,0.0671728,0.122366,0.121607
0.771717,0.0975745,0.0611832,0.0608033
0.771717,0.0367712,0.0611832,0.0608033
0.8329,0.0975745,0.0611832,0.0608033
0.8329,0.0367712,0.0611832,0.0608033
0.924675,0.188779,0.122366,0.121607
0.894083,0.219181,0.0611832,0.0608033
0.894083,0.158378,0.0611832,0.0608033
0.955267,0.219181,0.0611832,0.0608033
0.955267,0.158378,0.0611832,0.0608033
0.924675,0.0671728,0.122366,0.121607
