rectCenterX,rectCenterY,rectWidth,rectHeight
-1.38784,0.00525275,0.0524291,0.0487382
-1.38784,-0.0434854,0.0524291,0.0487382
-1.33541,0.00525275,0.052429,0.0487382
-1.33541,-0.0434854,0.052429,0.0487382
-1.20434,0.224575,0.209716,0.194953
-1.25677,0.273313,0.104858,0.0974764
-1.25677,0.175836,0.104858,0.0974764
-1.15191,0.273313,0.104858,0.0974764
-1.15191,0.175836,0.104858,0.0974764
-1.20434,0.0296218,0.209716,0.194953
-1.25677,0.07836,0.104858,0.0974764
-1.25677,-0.0191163,0.104858,0.0974764
-1.15191,0.07836,0.104858,0.0974764
-1.15191,-0.0191163,0.104858,0.0974764
-0.889762,0.517004,0.419432,0.389905
-0.99462,0.61448,0.209716,0.194953
-1.04705,0.663218,0.104858,0.0974764
-1.04705,0.565742,0.104858,0.0974764
-0.942191,0.663218,0.104858,0.0974764
-0.942191,0.565742,0.104858,0.0974764
-0.99462,0.419527,0.209716,0.194953
-1.04705,0.468266,0.104858,0.0974764
-1.04705,0.370789,0.104858,0.0974764
-0.942191,0.468266,0.104858,0.0974764
-0.942191,0.370789,0.104858,0.0974764
-0.784904,0.61448,0.209716,0.194953
-0.837333,0.663218,0.104858,0.0974764
-0.837333,0.565742,0.104858,0.0974764
-0.732475,0.663218,0.104858,0.0974764
-0.732475,0.565742,0.104858,0.0974764
-0.784904,0.419527,0.209716,0.194953
-0.889762,0.127098,0.419432,0.389905
-0.99462,0.224575,0.209716,0.194953
-1.04705,0.273313,0.104858,0.0974764
-1.07326,0.297682,0.052429,0.0487382
-1.07326,0.248944,0.052429,0.0487382
-1.02083,0.297682,0.0524291,0.0487382
-1.02083,0.248944,0.0524291,0.0487382
-1.04705,0.175836,0.104858,0.0974764
-0.942191,0.273313,0.104858,0.0974764
-0.942191,0.175836,0.104858,0.0974764
-0.99462,0.0296218,0.209716,0.194953
-1.04705,0.07836,0.104858,0.0974764
-1.04705,-0.0191163,0.104858,0.0974764
-0.942191,0.07836,0.104858,0.0974764
-0.942191,-0.0191163,0.104858,0.0974764
-0.968406,0.00525275,0.052429,0.0487382
-0.968406,-0.0434854,0.052429,0.0487382
-0.915977,0.00525275,0.052429,0.0487382
-0.915977,-0.0434854,0.052429,0.0487382
-0.929084,-0.0313009,0.0262145,0.0243691
-0.935638,-0.0252086,0.0131072,0.0121845
-0.935638,-0.0373932,0.0131072,0.0121845
-0.92253,-0.0252086,0.0131073,0.0121845
-0.92253,-0.0373932,0.0131073,0.0121845
-0.929084,-0.05567,0.0262145,0.0243691
-0.902869,-0.0313009,0.0262145,0.0243691
-0.902869,-0.05567,0.0262145,0.0243691
-0.784904,0.224575,0.209716,0.194953
-0.837333,0.273313,0.104858,0.0974764
-0.837333,0.175836,0.104858,0.0974764
-0.732475,0.273313,0.104858,0.0974764
-0.732475,0.175836,0.104858,0.0974764
-0.75869,0.200206,0.052429,0.0487382
-0.75869,0.151467,0.052429,0.0487382
-0.706261,0.200206,0.052429,0.0487382
-0.706261,0.151467,0.052429,0.0487382
-0.784904,0.0296218,0.209716,0.194953
-0.837333,0.07836,0.104858,0.0974764
-0.837333,-0.0191163,0.104858,0.0974764
-0.732475,0.07836,0.104858,0.0974764
-0.732475,-0.0191163,0.104858,0.0974764
-0.260614,1.10186,0.838864,0.779811
-0.47033,1.29681,0.419432,0.389905
-0.575188,1.39429,0.209716,0.194953
-0.575188,1.19934,0.209716,0.194953
-0.627617,1.24808,0.104858,0.0974764
-0.627617,1.1506,0.104858,0.0974764
-0.522759,1.24808,0.104858,0.0974764
-0.522759,1.1506,0.104858,0.0974764
-0.365472,1.39429,0.209716,0.194953
-0.365472,1.19934,0.209716,0.194953
-0.47033,0.906909,0.419432,0.389906
-0.575188,1.00439,0.209716,0.194953
-0.575188,0.809433,0.209716,0.194953
-0.627617,0.858171,0.104858,0.0974764
-0.627617,0.760695,0.104858,0.0974764
-0.522759,0.858171,0.104858,0.0974764
-0.522759,0.760695,0.104858,0.0974764
-0.365472,1.00439,0.209716,0.194953
-0.365472,0.809433,0.209716,0.194953
-0.417901,0.858171,0.104858,0.0974764
-0.417901,0.760695,0.104858,0.0974764
-0.313043,0.858171,0.104858,0.0974764
-0.313043,0.760695,0.104858,0.0974764
-0.0508978,1.29681,0.419432,0.389905
-0.155756,1.39429,0.209716,0.194953
-0.155756,1.19934,0.209716,0.194953
0.0539602,1.39429,0.209716,0.194953
0.0539602,1.19934,0.209716,0.194953
-0.0508978,0.906909,0.419432,0.389906
-0.155756,1.00439,0.209716,0.194953
-0.208185,1.05312,0.104858,0.0974764
-0.208185,0.955647,0.104858,0.0974764
-0.103327,1.05312,0.104858,0.0974764
-0.103327,0.955647,0.104858,0.0974764
-0.155756,0.809433,0.209716,0.194953
-0.208185,0.858171,0.104858,0.0974764
-0.208185,0.760695,0.104858,0.0974764
-0.103327,0.858171,0.104858,0.0974764
-0.103327,0.760695,0.104858,0.0974764
0.0539602,1.00439,0.209716,0.194953
0.00153118,1.05312,0.104858,0.0974764
0.00153118,0.955647,0.104858,0.0974764
0.106389,1.05312,0.104858,0.0974764
0.106389,0.955647,0.104858,0.0974764
0.0539602,0.809433,0.209716,0.194953
0.00153118,0.858171,0.104858,0.0974764
0.00153118,0.760695,0.104858,0.0974764
0.106389,0.858171,0.104858,0.0974764
0.106389,0.760695,0.104858,0.0974764
-0.260614,0.322051,0.838864,0.779811
-0.47033,0.517004,0.419432,0.389905
-0.575188,0.61448,0.209716,0.194953
-0.575188,0.419527,0.209716,0.194953
-0.627617,0.468266,0.104858,0.0974764
-0.627617,0.370789,0.104858,0.0974764
-0.522759,0.468266,0.104858,0.0974764
-0.522759,0.370789,0.104858,0.0974764
-0.365472,0.61448,0.209716,0.194953
-0.365472,0.419527,0.209716,0.194953
-0.417901,0.468266,0.104858,0.0974764
-0.417901,0.370789,0.104858,0.0974764
-0.313043,0.468266,0.104858,0.0974764
-0.339257,0.492635,0.052429,0.0487382
-0.339257,0.443896,0.052429,0.0487382
-0.286828,0.492635,0.052429,0.0487382
-0.286828,0.443896,0.052429,0.0487382
-0.313043,0.370789,0.104858,0.0974764
-0.47033,0.127098,0.419432,0.389905
-0.575188,0.224575,0.209716,0.194953
-0.627617,0.273313,0.104858,0.0974764
-0.627617,0.175836,0.104858,0.0974764
-0.522759,0.273313,0.104858,0.0974764
-0.522759,0.175836,0.104858,0.0974764
-0.575188,0.0296218,0.209716,0.194953
-0.365472,0.224575,0.209716,0.194953
-0.417901,0.273313,0.104858,0.0974764
-0.417901,0.175836,0.104858,0.0974764
-0.313043,0.273313,0.104858,0.0974764
-0.339257,0.297682,0.052429,0.0487382
-0.339257,0.248944,0.052429,0.0487382
-0.286828,0.297682,0.052429,0.0487382
-0.286828,0.248944,0.052429,0.0487382
-0.313043,0.175836,0.104858,0.0974764
-0.365472,0.0296218,0.209716,0.194953
-0.417901,0.07836,0.104858,0.0974764
-0.417901,-0.0191163,0.104858,0.0974764
-0.444115,0.00525275,0.052429,0.0487382
-0.444115,-0.0434854,0.052429,0.0487382
-0.391686,0.00525275,0.052429,0.0487382
-0.391686,-0.0434854,0.052429,0.0487382
-0.313043,0.07836,0.104858,0.0974764
-0.313043,-0.0191163,0.104858,0.0974764
-0.0508978,0.517004,0.419432,0.389905
-0.155756,0.61448,0.209716,0.194953
-0.208185,0.663218,0.104858,0.0974764
-0.208185,0.565742,0.104858,0.0974764
-0.103327,0.663218,0.104858,0.0974764
-0.103327,0.565742,0.104858,0.0974764
-0.155756,0.419527,0.209716,0.194953
-0.208185,0.468266,0.104858,0.0974764
-0.208185,0.370789,0.104858,0.0974764
-0.234399,0.395158,0.052429,0.0487382
-0.234399,0.34642,0.052429,0.0487382
-0.18197,0.395158,0.052429,0.0487382
-0.18197,0.34642,0.052429,0.0487382
-0.103327,0.468266,0.104858,0.0974764
-0.103327,0.370789,0.104858,0.0974764
0.0539602,0.61448,0.209716,0.194953
